nutrient_id,lower,upper,unit
energy,2181.563545150502,,kcal/d
protein,50.1875,,g/d
saturated_fatty_acids,,16.967716462281683,g/d
n6_fatty_acids,9.695837978446674,,g/d
n3_fatty_acids,1.4543756967670012,,g/d
carbohydrate,,,g/d
fiber,18.0,,g/d
vitamin_a,650.0,2700.0,µgRAE/d
vitamin_d,9.0,100.0,µg/d
vitamin_e,5.0,650.0,mg/d
vitamin_k,150.0,,µg/d
vitamin_b1,0.8,,mg/d
vitamin_b2,1.2,,mg/d
niacin,11.0,,mgNE/d
vitamin_b6,1.2,45.0,mg/d
vitamin_b12,4.0,,µg/d
folate,240.0,900.0,µg/d
pantothenic_acid,5.0,,mg/d
biotin,50.0,,µg/d
vitamin_c,100.0,,mg/d
salt_equivalent,1.5,6.5,g/d
potassium,2000.0,,mg/d
calcium,650.0,2500.0,mg/d
magnesium,280.0,,mg/d
phosphorus,800.0,3000.0,mg/d
iron,10.0,,mg/d
zinc,7.5,35.0,mg/d
copper,0.7,7.0,mg/d
manganese,3.0,11.0,mg/d
iodine,140.0,3000.0,µg/d
selenium,25.0,350.0,µg/d
chromium,10.0,500.0,µg/d
molybdenum,25.0,500.0,µg/d
